INSERT INTO Education VALUES('1', 'HSC', 'Science', 'DMC', '2009');
INSERT INTO Education VALUES('65', 'Ph.D.', 'Arts', 'KUET', '2007');
INSERT INTO Education VALUES('66', 'Bachelors', 'Science', 'SUST', '1991');
INSERT INTO Education VALUES('67', 'Others', 'Commerce', 'BUET', '1995');
INSERT INTO Education VALUES('68', 'SSC', 'Commerce', 'DU', '2005');
INSERT INTO Education VALUES('69', 'Bachelors', 'Science', 'DU', '1989');
INSERT INTO Education VALUES('70', 'SSC', 'Arts', 'RUET', '1998');
INSERT INTO Education VALUES('71', 'Masters', 'Engineering', 'DMC', '1992');
INSERT INTO Education VALUES('72', 'Masters', 'Science', 'DU', '1996');
INSERT INTO Education VALUES('73', 'Masters', 'Science', 'DU', '1988');
INSERT INTO Education VALUES('74', 'SSC', 'Arts', 'KUET', '1989');
INSERT INTO Education VALUES('75', 'Others', 'Science', 'KUET', '2006');
INSERT INTO Education VALUES('76', 'SSC', 'Engineering', 'RUET', '2008');
INSERT INTO Education VALUES('77', 'HSC', 'Science', 'DMC', '1995');
INSERT INTO Education VALUES('78', 'SSC', 'Science', 'DU', '1986');
INSERT INTO Education VALUES('79', 'Ph.D.', 'Science', 'KUET', '2005');
INSERT INTO Education VALUES('80', 'Masters', 'Commerce', 'BUET', '2006');
INSERT INTO Education VALUES('81', 'SSC', 'MBBS', 'KUET', '1985');
INSERT INTO Education VALUES('82', 'Bachelors', 'Commerce', 'BUET', '1999');
INSERT INTO Education VALUES('83', 'Masters', 'Engineering', 'DU', '2007');
INSERT INTO Education VALUES('84', 'HSC', 'Engineering', 'CUET', '2002');
INSERT INTO Education VALUES('85', 'Bachelors', 'Science', 'SUST', '2000');
INSERT INTO Education VALUES('86', 'Ph.D.', 'Commerce', 'SUST', '2003');
INSERT INTO Education VALUES('87', 'Others', 'MBBS', 'DU', '1996');
INSERT INTO Education VALUES('88', 'HSC', 'Science', 'SUST', '2003');
INSERT INTO Education VALUES('89', 'Ph.D.', 'MBBS', 'DMC', '1993');
INSERT INTO Education VALUES('90', 'SSC', 'Arts', 'BUET', '2006');
INSERT INTO Education VALUES('91', 'Masters', 'Commerce', 'RUET', '1987');
INSERT INTO Education VALUES('92', 'Ph.D.', 'Commerce', 'SUST', '2000');
INSERT INTO Education VALUES('93', 'Bachelors', 'Commerce', 'CUET', '1999');
INSERT INTO Education VALUES('94', 'Bachelors', 'MBBS', 'DU', '1998');
INSERT INTO Education VALUES('95', 'SSC', 'MBBS', 'BUET', '1999');
INSERT INTO Education VALUES('96', 'Bachelors', 'Science', 'BUET', '2004');
INSERT INTO Education VALUES('97', 'Masters', 'MBBS', 'BUET', '2000');
INSERT INTO Education VALUES('98', 'Others', 'Commerce', 'KUET', '2005');
INSERT INTO Education VALUES('99', 'SSC', 'Science', 'CUET', '2002');
INSERT INTO Education VALUES('100', 'Masters', 'Science', 'SUST', '1990');
INSERT INTO Education VALUES('101', 'HSC', 'Science', 'BUET', '2000');
INSERT INTO Education VALUES('102', 'SSC', 'MBBS', 'BUET', '1992');
INSERT INTO Education VALUES('103', 'SSC', 'Science', 'BUET', '2006');
INSERT INTO Education VALUES('104', 'Bachelors', 'Commerce', 'DU', '1989');
INSERT INTO Education VALUES('105', 'SSC', 'Arts', 'CUET', '2009');
INSERT INTO Education VALUES('106', 'Ph.D.', 'Arts', 'BUET', '1995');
INSERT INTO Education VALUES('107', 'SSC', 'Commerce', 'DMC', '2002');
INSERT INTO Education VALUES('108', 'SSC', 'MBBS', 'CUET', '2010');
INSERT INTO Education VALUES('109', 'Ph.D.', 'Science', 'DMC', '1993');
INSERT INTO Education VALUES('110', 'SSC', 'Engineering', 'KUET', '1999');
INSERT INTO Education VALUES('111', 'Bachelors', 'Commerce', 'CUET', '1989');
INSERT INTO Education VALUES('112', 'Masters', 'Engineering', 'DMC', '2007');
INSERT INTO Education VALUES('113', 'Masters', 'Science', 'CUET', '1995');
INSERT INTO Education VALUES('114', 'Others', 'Engineering', 'KUET', '2010');
INSERT INTO Education VALUES('115', 'Masters', 'MBBS', 'BUET', '1992');
INSERT INTO Education VALUES('116', 'HSC', 'MBBS', 'CUET', '1985');
INSERT INTO Education VALUES('117', 'SSC', 'MBBS', 'SUST', '2008');
INSERT INTO Education VALUES('118', 'Others', 'MBBS', 'DMC', '1992');
INSERT INTO Education VALUES('119', 'Bachelors', 'Science', 'CUET', '1989');
INSERT INTO Education VALUES('120', 'Bachelors', 'MBBS', 'CUET', '2006');
INSERT INTO Education VALUES('121', 'HSC', 'Engineering', 'DU', '1993');
INSERT INTO Education VALUES('122', 'Masters', 'Commerce', 'SUST', '2000');
INSERT INTO Education VALUES('123', 'Others', 'MBBS', 'KUET', '1998');
INSERT INTO Education VALUES('124', 'Ph.D.', 'Arts', 'BUET', '2008');
INSERT INTO Education VALUES('125', 'SSC', 'MBBS', 'RUET', '1989');
INSERT INTO Education VALUES('126', 'Others', 'Science', 'DMC', '1999');
INSERT INTO Education VALUES('127', 'Others', 'MBBS', 'SUST', '1997');
INSERT INTO Education VALUES('128', 'Others', 'Engineering', 'RUET', '1994');
INSERT INTO Education VALUES('129', 'Masters', 'Science', 'DMC', '1999');
INSERT INTO Education VALUES('130', 'Bachelors', 'Commerce', 'RUET', '2001');
INSERT INTO Education VALUES('131', 'Ph.D.', 'MBBS', 'BUET', '1987');
INSERT INTO Education VALUES('132', 'Masters', 'Commerce', 'BUET', '2010');
INSERT INTO Education VALUES('133', 'Others', 'Arts', 'BUET', '1995');
INSERT INTO Education VALUES('134', 'Ph.D.', 'Commerce', 'CUET', '2009');
INSERT INTO Education VALUES('135', 'SSC', 'Engineering', 'DU', '2009');
INSERT INTO Education VALUES('136', 'Bachelors', 'Arts', 'DU', '1993');
INSERT INTO Education VALUES('137', 'Bachelors', 'Engineering', 'KUET', '1994');
INSERT INTO Education VALUES('138', 'Others', 'Engineering', 'DU', '1999');
INSERT INTO Education VALUES('139', 'HSC', 'Arts', 'SUST', '2002');
INSERT INTO Education VALUES('140', 'Others', 'Commerce', 'CUET', '1994');
INSERT INTO Education VALUES('141', 'HSC', 'MBBS', 'KUET', '1985');
INSERT INTO Education VALUES('142', 'Bachelors', 'Science', 'DU', '1995');
INSERT INTO Education VALUES('143', 'Masters', 'Arts', 'SUST', '1996');
INSERT INTO Education VALUES('144', 'SSC', 'Engineering', 'DU', '2005');
INSERT INTO Education VALUES('145', 'Masters', 'Arts', 'KUET', '2002');
INSERT INTO Education VALUES('146', 'Bachelors', 'Engineering', 'BUET', '2005');
INSERT INTO Education VALUES('147', 'Masters', 'Science', 'RUET', '2002');
INSERT INTO Education VALUES('148', 'Others', 'Arts', 'DMC', '2005');
INSERT INTO Education VALUES('149', 'Ph.D.', 'Commerce', 'RUET', '1989');
INSERT INTO Education VALUES('150', 'Masters', 'Commerce', 'CUET', '1987');
INSERT INTO Education VALUES('151', 'HSC', 'MBBS', 'CUET', '2003');
INSERT INTO Education VALUES('152', 'Ph.D.', 'Science', 'CUET', '2004');
INSERT INTO Education VALUES('153', 'HSC', 'Science', 'BUET', '1986');
INSERT INTO Education VALUES('154', 'HSC', 'Commerce', 'BUET', '2004');
INSERT INTO Education VALUES('155', 'Bachelors', 'Engineering', 'CUET', '2005');
INSERT INTO Education VALUES('156', 'SSC', 'Engineering', 'KUET', '2006');
INSERT INTO Education VALUES('157', 'Bachelors', 'Engineering', 'CUET', '1987');
INSERT INTO Education VALUES('158', 'SSC', 'Commerce', 'CUET', '2009');
INSERT INTO Education VALUES('159', 'Bachelors', 'Arts', 'DMC', '1987');
INSERT INTO Education VALUES('160', 'Bachelors', 'Engineering', 'SUST', '1985');
INSERT INTO Education VALUES('161', 'Bachelors', 'Commerce', 'DU', '1991');
INSERT INTO Education VALUES('162', 'SSC', 'Science', 'SUST', '1996');
INSERT INTO Education VALUES('163', 'Masters', 'MBBS', 'SUST', '2009');
INSERT INTO Education VALUES('164', 'Bachelors', 'Arts', 'KUET', '1986');
INSERT INTO Education VALUES('165', 'HSC', 'Science', 'DMC', '2006');
INSERT INTO Education VALUES('166', 'HSC', 'Science', 'RUET', '1999');
INSERT INTO Education VALUES('167', 'Others', 'Science', 'DU', '2009');
INSERT INTO Education VALUES('168', 'Others', 'Engineering', 'DU', '1989');
INSERT INTO Education VALUES('169', 'SSC', 'Science', 'KUET', '2010');
INSERT INTO Education VALUES('170', 'HSC', 'Commerce', 'BUET', '2004');
INSERT INTO Education VALUES('171', 'HSC', 'Engineering', 'RUET', '2008');
INSERT INTO Education VALUES('172', 'Masters', 'Science', 'RUET', '2006');
INSERT INTO Education VALUES('173', 'Ph.D.', 'Science', 'KUET', '1986');
INSERT INTO Education VALUES('174', 'Bachelors', 'Commerce', 'DU', '1990');
INSERT INTO Education VALUES('175', 'Bachelors', 'Science', 'CUET', '1992');
INSERT INTO Education VALUES('176', 'Others', 'Commerce', 'DU', '2001');
INSERT INTO Education VALUES('177', 'SSC', 'Commerce', 'RUET', '2006');
INSERT INTO Education VALUES('178', 'HSC', 'Science', 'KUET', '1998');
INSERT INTO Education VALUES('179', 'Others', 'MBBS', 'KUET', '1995');
INSERT INTO Education VALUES('180', 'Bachelors', 'Arts', 'RUET', '1996');
INSERT INTO Education VALUES('181', 'Ph.D.', 'MBBS', 'DU', '1987');
INSERT INTO Education VALUES('182', 'Others', 'Arts', 'KUET', '2001');
INSERT INTO Education VALUES('183', 'Bachelors', 'Science', 'SUST', '2009');
INSERT INTO Education VALUES('184', 'HSC', 'MBBS', 'DU', '1986');
INSERT INTO Education VALUES('185', 'Bachelors', 'Commerce', 'DMC', '1990');
INSERT INTO Education VALUES('186', 'Masters', 'Arts', 'CUET', '1999');
INSERT INTO Education VALUES('187', 'Masters', 'Commerce', 'RUET', '1993');
INSERT INTO Education VALUES('188', 'Ph.D.', 'Commerce', 'DU', '1996');
INSERT INTO Education VALUES('189', 'SSC', 'Commerce', 'RUET', '1989');
INSERT INTO Education VALUES('190', 'SSC', 'Science', 'RUET', '2010');
INSERT INTO Education VALUES('191', 'Ph.D.', 'Commerce', 'KUET', '2010');
INSERT INTO Education VALUES('192', 'Masters', 'Science', 'DMC', '2006');
INSERT INTO Education VALUES('193', 'SSC', 'Science', 'KUET', '1999');
INSERT INTO Education VALUES('194', 'Ph.D.', 'Science', 'DMC', '1992');
INSERT INTO Education VALUES('195', 'HSC', 'MBBS', 'KUET', '2002');
INSERT INTO Education VALUES('196', 'Bachelors', 'Arts', 'KUET', '1987');
INSERT INTO Education VALUES('197', 'Bachelors', 'Science', 'BUET', '2007');
INSERT INTO Education VALUES('198', 'HSC', 'Commerce', 'KUET', '2009');
INSERT INTO Education VALUES('199', 'HSC', 'MBBS', 'RUET', '1999');
INSERT INTO Education VALUES('200', 'SSC', 'Engineering', 'DU', '2006');
INSERT INTO Education VALUES('201', 'Bachelors', 'MBBS', 'RUET', '2007');
INSERT INTO Education VALUES('202', 'Masters', 'Arts', 'DMC', '2010');
INSERT INTO Education VALUES('203', 'Masters', 'MBBS', 'DU', '1991');
INSERT INTO Education VALUES('204', 'SSC', 'Commerce', 'DU', '1986');
INSERT INTO Education VALUES('205', 'Ph.D.', 'Arts', 'CUET', '1989');
INSERT INTO Education VALUES('206', 'Bachelors', 'MBBS', 'DMC', '1995');
INSERT INTO Education VALUES('207', 'Ph.D.', 'Commerce', 'CUET', '1985');
INSERT INTO Education VALUES('208', 'Masters', 'Commerce', 'SUST', '1986');
INSERT INTO Education VALUES('209', 'Bachelors', 'MBBS', 'CUET', '2003');
INSERT INTO Education VALUES('210', 'HSC', 'Commerce', 'CUET', '2001');
INSERT INTO Education VALUES('211', 'HSC', 'Science', 'BUET', '2005');
INSERT INTO Education VALUES('212', 'SSC', 'Arts', 'RUET', '1993');
INSERT INTO Education VALUES('213', 'Masters', 'Arts', 'KUET', '2001');
INSERT INTO Education VALUES('214', 'Others', 'Commerce', 'DU', '2000');
INSERT INTO Education VALUES('215', 'Bachelors', 'Engineering', 'SUST', '1987');
INSERT INTO Education VALUES('216', 'Bachelors', 'Engineering', 'SUST', '1989');
INSERT INTO Education VALUES('217', 'Bachelors', 'Engineering', 'DMC', '1991');
INSERT INTO Education VALUES('218', 'Others', 'Arts', 'RUET', '1990');
INSERT INTO Education VALUES('219', 'SSC', 'MBBS', 'BUET', '2004');
INSERT INTO Education VALUES('220', 'HSC', 'Science', 'BUET', '2008');
INSERT INTO Education VALUES('221', 'Others', 'Science', 'DMC', '1998');
INSERT INTO Education VALUES('222', 'Masters', 'MBBS', 'KUET', '1987');
INSERT INTO Education VALUES('223', 'Others', 'MBBS', 'KUET', '1996');
INSERT INTO Education VALUES('224', 'Masters', 'Engineering', 'CUET', '1990');
INSERT INTO Education VALUES('225', 'HSC', 'Commerce', 'KUET', '2001');
INSERT INTO Education VALUES('226', 'SSC', 'Arts', 'RUET', '1992');
INSERT INTO Education VALUES('227', 'Masters', 'Commerce', 'DU', '1996');
INSERT INTO Education VALUES('228', 'HSC', 'Arts', 'SUST', '2008');
INSERT INTO Education VALUES('229', 'Ph.D.', 'Arts', 'DMC', '2000');
INSERT INTO Education VALUES('230', 'Others', 'MBBS', 'BUET', '1999');
INSERT INTO Education VALUES('231', 'Masters', 'Commerce', 'BUET', '2009');
INSERT INTO Education VALUES('232', 'Ph.D.', 'MBBS', 'RUET', '1997');
INSERT INTO Education VALUES('233', 'Bachelors', 'MBBS', 'BUET', '1988');
INSERT INTO Education VALUES('234', 'Bachelors', 'Commerce', 'KUET', '2008');
INSERT INTO Education VALUES('235', 'SSC', 'MBBS', 'DMC', '1993');
INSERT INTO Education VALUES('236', 'Others', 'Science', 'RUET', '1994');
INSERT INTO Education VALUES('237', 'SSC', 'Science', 'KUET', '2008');
INSERT INTO Education VALUES('238', 'HSC', 'Commerce', 'KUET', '1996');
INSERT INTO Education VALUES('239', 'Ph.D.', 'Science', 'KUET', '1996');
INSERT INTO Education VALUES('240', 'Ph.D.', 'Commerce', 'DMC', '1990');
INSERT INTO Education VALUES('241', 'HSC', 'Commerce', 'BUET', '1987');
INSERT INTO Education VALUES('242', 'Others', 'Science', 'CUET', '1988');
INSERT INTO Education VALUES('243', 'HSC', 'Engineering', 'DU', '2000');
INSERT INTO Education VALUES('244', 'SSC', 'Arts', 'DMC', '1990');
INSERT INTO Education VALUES('245', 'Others', 'Commerce', 'RUET', '2009');
INSERT INTO Education VALUES('246', 'Masters', 'MBBS', 'DMC', '1994');
INSERT INTO Education VALUES('247', 'Bachelors', 'Science', 'RUET', '2004');
INSERT INTO Education VALUES('248', 'Others', 'Arts', 'KUET', '1996');
INSERT INTO Education VALUES('249', 'HSC', 'Engineering', 'KUET', '1985');
INSERT INTO Education VALUES('250', 'HSC', 'Arts', 'SUST', '2006');
INSERT INTO Education VALUES('251', 'HSC', 'Science', 'DMC', '2010');
INSERT INTO Education VALUES('252', 'Others', 'Commerce', 'KUET', '1995');
INSERT INTO Education VALUES('253', 'Ph.D.', 'MBBS', 'DMC', '1996');
INSERT INTO Education VALUES('254', 'SSC', 'MBBS', 'CUET', '2002');
INSERT INTO Education VALUES('255', 'HSC', 'MBBS', 'DMC', '2004');
INSERT INTO Education VALUES('256', 'SSC', 'Engineering', 'DMC', '1992');
INSERT INTO Education VALUES('257', 'SSC', 'Engineering', 'SUST', '1994');
INSERT INTO Education VALUES('258', 'Bachelors', 'Commerce', 'DU', '1989');
INSERT INTO Education VALUES('259', 'Ph.D.', 'MBBS', 'SUST', '1998');
INSERT INTO Education VALUES('260', 'Bachelors', 'MBBS', 'SUST', '2007');
INSERT INTO Education VALUES('261', 'Bachelors', 'Arts', 'RUET', '2006');
INSERT INTO Education VALUES('262', 'Ph.D.', 'Science', 'DMC', '1994');
INSERT INTO Education VALUES('263', 'SSC', 'Science', 'BUET', '2003');
INSERT INTO Education VALUES('264', 'SSC', 'Science', 'DMC', '2000');
INSERT INTO Education VALUES('265', 'HSC', 'Engineering', 'KUET', '1987');
INSERT INTO Education VALUES('266', 'HSC', 'MBBS', 'DU', '1996');
INSERT INTO Education VALUES('267', 'Masters', 'Commerce', 'CUET', '1994');
INSERT INTO Education VALUES('268', 'Bachelors', 'Science', 'DU', '2002');
INSERT INTO Education VALUES('269', 'HSC', 'Engineering', 'BUET', '2003');
INSERT INTO Education VALUES('270', 'Ph.D.', 'Science', 'CUET', '2005');
INSERT INTO Education VALUES('271', 'Bachelors', 'Engineering', 'DMC', '2001');
INSERT INTO Education VALUES('272', 'HSC', 'MBBS', 'DU', '1998');
INSERT INTO Education VALUES('273', 'SSC', 'Science', 'BUET', '1996');
INSERT INTO Education VALUES('274', 'Masters', 'Arts', 'BUET', '1992');
INSERT INTO Education VALUES('275', 'Masters', 'Engineering', 'DU', '1993');
INSERT INTO Education VALUES('276', 'HSC', 'Arts', 'KUET', '1991');
INSERT INTO Education VALUES('277', 'Masters', 'Engineering', 'SUST', '1993');
INSERT INTO Education VALUES('278', 'Ph.D.', 'Commerce', 'DU', '1992');
INSERT INTO Education VALUES('279', 'HSC', 'MBBS', 'RUET', '1986');
INSERT INTO Education VALUES('280', 'Bachelors', 'Commerce', 'KUET', '1998');
INSERT INTO Education VALUES('281', 'Bachelors', 'MBBS', 'SUST', '2006');
INSERT INTO Education VALUES('282', 'Masters', 'MBBS', 'CUET', '2003');
INSERT INTO Education VALUES('283', 'Others', 'MBBS', 'DU', '1998');
INSERT INTO Education VALUES('284', 'HSC', 'MBBS', 'CUET', '1990');
INSERT INTO Education VALUES('285', 'Others', 'Science', 'SUST', '2007');
INSERT INTO Education VALUES('286', 'SSC', 'Arts', 'DU', '1988');
INSERT INTO Education VALUES('287', 'Bachelors', 'Arts', 'SUST', '1987');
INSERT INTO Education VALUES('288', 'SSC', 'Arts', 'DU', '2005');
INSERT INTO Education VALUES('289', 'HSC', 'Science', 'DMC', '1989');
INSERT INTO Education VALUES('290', 'HSC', 'MBBS', 'BUET', '1994');
INSERT INTO Education VALUES('291', 'Masters', 'Arts', 'CUET', '1989');
INSERT INTO Education VALUES('292', 'SSC', 'Science', 'BUET', '1996');
INSERT INTO Education VALUES('293', 'Others', 'Engineering', 'KUET', '1996');
INSERT INTO Education VALUES('294', 'Ph.D.', 'MBBS', 'BUET', '2003');
INSERT INTO Education VALUES('295', 'HSC', 'Engineering', 'RUET', '1986');
INSERT INTO Education VALUES('296', 'SSC', 'MBBS', 'KUET', '1987');
INSERT INTO Education VALUES('297', 'Bachelors', 'Arts', 'BUET', '2000');
INSERT INTO Education VALUES('298', 'Ph.D.', 'Engineering', 'CUET', '1995');
INSERT INTO Education VALUES('299', 'Bachelors', 'MBBS', 'CUET', '1985');
INSERT INTO Education VALUES('300', 'SSC', 'Science', 'RUET', '1993');
INSERT INTO Education VALUES('301', 'Others', 'Arts', 'DMC', '1998');
INSERT INTO Education VALUES('302', 'SSC', 'Commerce', 'BUET', '2004');
INSERT INTO Education VALUES('303', 'Ph.D.', 'Arts', 'SUST', '2009');
INSERT INTO Education VALUES('304', 'Ph.D.', 'Commerce', 'KUET', '2005');
INSERT INTO Education VALUES('305', 'Others', 'Science', 'DMC', '2001');
INSERT INTO Education VALUES('306', 'Ph.D.', 'Science', 'SUST', '1986');
INSERT INTO Education VALUES('307', 'Ph.D.', 'Arts', 'DU', '2009');
INSERT INTO Education VALUES('308', 'Masters', 'MBBS', 'BUET', '1990');
INSERT INTO Education VALUES('309', 'Bachelors', 'Engineering', 'RUET', '2003');
INSERT INTO Education VALUES('310', 'Ph.D.', 'Engineering', 'DMC', '1988');
INSERT INTO Education VALUES('311', 'SSC', 'Engineering', 'DMC', '1994');
INSERT INTO Education VALUES('312', 'Ph.D.', 'Engineering', 'CUET', '1994');
INSERT INTO Education VALUES('313', 'Ph.D.', 'Science', 'KUET', '1998');
INSERT INTO Education VALUES('314', 'Bachelors', 'Science', 'RUET', '2004');
INSERT INTO Education VALUES('315', 'Ph.D.', 'Commerce', 'RUET', '1985');
INSERT INTO Education VALUES('316', 'HSC', 'Science', 'DU', '2003');
INSERT INTO Education VALUES('317', 'Masters', 'Engineering', 'RUET', '2009');
INSERT INTO Education VALUES('318', 'Bachelors', 'Arts', 'RUET', '1992');
INSERT INTO Education VALUES('319', 'Ph.D.', 'Science', 'CUET', '1993');
INSERT INTO Education VALUES('320', 'Ph.D.', 'Science', 'DMC', '1993');
INSERT INTO Education VALUES('321', 'Bachelors', 'Engineering', 'CUET', '2001');
INSERT INTO Education VALUES('322', 'Masters', 'MBBS', 'DMC', '1986');
INSERT INTO Education VALUES('323', 'Others', 'Science', 'SUST', '1988');
INSERT INTO Education VALUES('324', 'Others', 'Engineering', 'DU', '2007');
INSERT INTO Education VALUES('325', 'Masters', 'Commerce', 'BUET', '1992');
INSERT INTO Education VALUES('326', 'Others', 'Commerce', 'DU', '1987');
INSERT INTO Education VALUES('327', 'Bachelors', 'Arts', 'RUET', '2004');
INSERT INTO Education VALUES('328', 'Masters', 'Science', 'KUET', '1997');
INSERT INTO Education VALUES('329', 'Others', 'Science', 'BUET', '2009');
INSERT INTO Education VALUES('330', 'Masters', 'Engineering', 'DU', '2004');
INSERT INTO Education VALUES('331', 'HSC', 'Commerce', 'DMC', '1995');
INSERT INTO Education VALUES('332', 'Others', 'Science', 'KUET', '2002');
INSERT INTO Education VALUES('333', 'Others', 'Arts', 'KUET', '2006');
INSERT INTO Education VALUES('334', 'Others', 'Arts', 'DU', '2004');
INSERT INTO Education VALUES('335', 'Ph.D.', 'MBBS', 'DU', '1992');
INSERT INTO Education VALUES('336', 'HSC', 'MBBS', 'RUET', '1997');
INSERT INTO Education VALUES('337', 'Bachelors', 'Commerce', 'DMC', '1993');
INSERT INTO Education VALUES('338', 'Ph.D.', 'Arts', 'SUST', '1987');
INSERT INTO Education VALUES('339', 'Ph.D.', 'Science', 'CUET', '2009');
INSERT INTO Education VALUES('340', 'HSC', 'Science', 'DU', '2000');
INSERT INTO Education VALUES('341', 'SSC', 'Engineering', 'DMC', '1997');
INSERT INTO Education VALUES('342', 'HSC', 'Arts', 'DMC', '1988');
INSERT INTO Education VALUES('343', 'Bachelors', 'Science', 'DMC', '1998');
INSERT INTO Education VALUES('344', 'Others', 'Arts', 'SUST', '2009');
INSERT INTO Education VALUES('345', 'HSC', 'Arts', 'KUET', '1985');
INSERT INTO Education VALUES('346', 'SSC', 'Commerce', 'KUET', '2004');
INSERT INTO Education VALUES('347', 'Masters', 'Engineering', 'CUET', '1986');
INSERT INTO Education VALUES('348', 'Bachelors', 'Commerce', 'CUET', '2002');
INSERT INTO Education VALUES('349', 'SSC', 'Engineering', 'DU', '1997');
INSERT INTO Education VALUES('350', 'Masters', 'MBBS', 'DU', '2001');
